date,price,volume
2025-12-01,86248.96829120435,40334819409.843475
2025-12-01,86509.66964426964,40334819409.843475
2025-12-01,86828.86588088673,40334819409.843475
2025-12-01,86711.05550833189,40334819409.843475
2025-12-01,86632.27972318193,40334819409.843475
2025-12-01,86262.5310475135,40334819409.843475
2025-12-01,85452.87201488385,40334819409.843475
2025-12-01,85992.51478024718,40334819409.843475
2025-12-01,86023.91194853347,40334819409.843475
2025-12-01,84634.95418600549,40334819409.843475
2025-12-01,84553.51608407828,40334819409.843475
2025-12-01,84958.90011684994,40334819409.843475
2025-12-01,85230.8975559526,40334819409.843475
2025-12-01,85003.07161606019,40334819409.843475
2025-12-01,85607.92665356252,40334819409.843475
2025-12-01,86425.82291576332,40334819409.843475
2025-12-01,86642.17601166596,40334819409.843475
